时间,开盘,最高,最低,收盘,总手(万),金额(亿)
"1991-08-13,二",156.87,157.07,155.54,157.07,1052900,10529728
"1991-08-14,三",158.3,158.63,158.11,158.63,292900,2929235
"1991-08-15,四",159.91,160.21,158.63,160.21,85000,850781
"1991-08-16,五",161.56,161.6,160.21,161.6,58100,581335
"1991-08-19,一",163.21,163.21,161.6,163.21,61400,614977
"1991-08-20,二",164.74,164.84,163.21,164.84,38800,388263
"1991-08-21,三",166.49,166.49,164.84,166.49,210600,2106363
"1991-08-22,四",167.81,168.16,166.49,168.16,84500,845656
"1991-08-23,五",169.81,169.81,168.16,169.81,50200,502645
"1991-08-26,一",171.51,171.51,169.81,171.51,51800,518093
"1991-08-27,二",173.06,173.19,171.51,173.19,52000,520954
"1991-08-28,三",174.82,174.92,173.19,174.92,51100,511434
"1991-08-29,四",176.53,176.66,174.92,176.66,162900,1629096
"1991-08-30,五",178.2,178.43,176.66,178.43,421900,4219163
"1991-09-02,一",180.08,180.22,178.43,180.22,88600,886865
"1991-09-03,二",181.71,181.97,180.22,181.97,94000,940258
"1991-09-04,三",183.66,183.69,181.97,183.69,47000,470005
"1991-09-05,四",185.48,185.51,183.69,185.51,109500,1095242
"1991-09-06,五",187.09,187.36,185.51,187.36,176100,1761317
"1991-09-09,一",189.1,189.24,187.36,189.24,234900,2349562
"1991-09-10,二",190.98,190.98,188.19,188.33,2150700,21507837
"1991-09-11,三",187.29,187.29,186.86,187.22,1467700,14677350
"1991-09-12,四",186.22,187.4,186.07,186.22,1626500,16265671
"1991-09-13,五",188,188.04,185.01,187.79,2403500,24035038
"1991-09-16,一",189.55,189.66,187.79,189.66,634300,6343151
"1991-09-17,二",191.16,191.18,188.28,188.65,1862300,18623898
"1991-09-18,三",187.26,188.59,187.18,187.63,1101500,11015637
"1991-09-19,四",187.65,189.21,186.49,186.88,1460700,14607546
"1991-09-20,五",185.77,187.21,185.66,185.92,741700,7417594
"1991-09-23,一",185,185.92,184.71,185,280600,2806673
"1991-09-24,二",183.96,185.04,183.69,184.08,100200,1002714
"1991-09-25,三",182.8,184.08,182.8,183.19,93400,934108
"1991-09-26,四",182.21,183.19,181.93,182.33,462000,4620152
"1991-09-27,五",183.12,183.89,181.19,181.82,2041600,20416480
"1991-09-30,一",180.28,181.95,180.27,180.92,2233600,22336016
"1991-10-03,四",181.55,182.48,179.8,182.48,1232900,12329971
"1991-10-04,五",184.29,184.29,183.59,184.29,503900,5039959
"1991-10-07,一",185.95,186,185.41,186,729100,7291196
"1991-10-08,二",187.59,187.61,186,187.49,1524100,15241554
"1991-10-09,三",188.49,189.12,186.31,189.12,1344000,13440129
"1991-10-10,四",190.71,191.01,189.12,191.01,433300,4333536
"1991-10-11,五",192.84,192.88,191.01,192.85,725100,7251750
"1991-10-14,一",194.06,194.69,192.32,194.67,1394800,13948029
"1991-10-15,二",196.58,196.61,194.67,196.61,726500,7265197
"1991-10-16,三",198.51,198.57,196.61,198.57,627300,6273991
"1991-10-17,四",200.5,200.51,198.57,200.51,413600,4136314
"1991-10-18,五",202.5,202.51,200.51,202.51,238400,2384097
"1991-10-21,一",204.53,204.53,202.51,204.53,251400,2514336
"1991-10-22,二",206.06,206.53,204.53,206.53,152100,1521146
"1991-10-23,三",208.06,208.25,206.53,208.25,198000,1980087
